,filename,category,x_min,x_max,y_min,y_max
0,IMG_000001.jpg,巴黎翠凤蝶,1992,2826,774,1559
1,IMG_000002.jpg,巴黎翠凤蝶,2219,3065,543,1332
2,IMG_000003.jpg,巴黎翠凤蝶,1857,3149,778,1889
3,IMG_000008.jpg,巴黎翠凤蝶,2842,3058,1864,2179
4,IMG_000010.jpg,巴黎翠凤蝶,3413,4177,1054,1603
5,IMG_000014.jpg,巴黎翠凤蝶,2768,3419,1660,2740
6,IMG_000016.jpg,巴黎翠凤蝶,2849,3503,1424,2502
7,IMG_000017.jpg,巴黎翠凤蝶,2736,3601,1607,2623
8,IMG_000018.jpg,巴黎翠凤蝶,2834,3685,1668,2701
9,IMG_000020.jpg,巴黎翠凤蝶,2854,3587,1562,2572
10,IMG_000022.jpg,巴黎翠凤蝶,2901,3707,1550,2540
11,IMG_000023.jpg,巴黎翠凤蝶,2929,3654,1605,2569
12,IMG_000026.jpg,巴黎翠凤蝶,2544,3577,1469,2487
13,IMG_000028.jpg,巴黎翠凤蝶,2440,3513,1477,2499
14,IMG_000029.jpg,巴黎翠凤蝶,2946,3505,1687,2792
15,IMG_000031.jpg,巴黎翠凤蝶,2944,3892,1774,2869
16,IMG_000032.jpg,巴黎翠凤蝶,3097,4259,1697,3105
17,IMG_000037.jpg,巴黎翠凤蝶,1176,4387,847,3542
18,IMG_000039.jpg,巴黎翠凤蝶,1908,5760,15,3873
19,IMG_000040.jpg,巴黎翠凤蝶,1145,5404,452,4015
20,IMG_000042.jpg,巴黎翠凤蝶,1256,4633,412,2848
21,IMG_000044.jpg,巴黎翠凤蝶,1028,1223,1790,1976
22,IMG_000045.jpg,巴黎翠凤蝶,1532,2369,1159,2211
23,IMG_000049.jpg,柑橘凤蝶,1984,2472,712,1159
24,IMG_000053.jpg,柑橘凤蝶,1660,2929,893,1630
25,IMG_000054.jpg,柑橘凤蝶,1206,2599,1013,2459
26,IMG_000056.jpg,柑橘凤蝶,1649,3015,709,1628
27,IMG_000057.jpg,柑橘凤蝶,2238,3530,881,2172
28,IMG_000061.jpg,柑橘凤蝶,1445,2327,633,1472
29,IMG_000062.jpg,柑橘凤蝶,1790,2697,785,1752
30,IMG_000063.jpg,柑橘凤蝶,1285,2693,578,2072
31,IMG_000064.jpg,柑橘凤蝶,1462,3173,511,1926
32,IMG_000065.jpg,柑橘凤蝶,2021,2303,1337,1669
33,IMG_000066.jpg,柑橘凤蝶,1841,2284,1154,1651
34,IMG_000068.jpg,柑橘凤蝶,1905,2289,1221,1716
35,IMG_000070.jpg,柑橘凤蝶,2012,2483,1312,1765
36,IMG_000074.jpg,柑橘凤蝶,1957,2196,1109,1647
37,IMG_000076.jpg,柑橘凤蝶,2666,3599,1370,2077
38,IMG_000078.jpg,柑橘凤蝶,2737,3192,1666,1959
39,IMG_000079.jpg,柑橘凤蝶,2759,3290,1785,2118
40,IMG_000081.jpg,柑橘凤蝶,2323,3334,1205,2170
41,IMG_000083.jpg,柑橘凤蝶,2518,5597,5,3573
42,IMG_000084.jpg,柑橘凤蝶,1396,3471,844,3268
43,IMG_000085.jpg,柑橘凤蝶,1189,3302,396,2906
44,IMG_000086.jpg,柑橘凤蝶,1637,3813,337,2482
45,IMG_000087.jpg,柑橘凤蝶,1987,3992,663,2768
46,IMG_000092.jpg,玉带凤蝶,269,3184,755,2474
47,IMG_000095.jpg,碧凤蝶,2073,2632,1020,1565
48,IMG_000098.jpg,碧凤蝶,2245,2694,831,1388
49,IMG_000102.jpg,碧凤蝶,1238,2824,742,1836
50,IMG_000107.jpg,碧凤蝶,1998,3036,883,1658
51,IMG_000109.jpg,碧凤蝶,2006,3036,813,1683
52,IMG_000111.jpg,碧凤蝶,1473,2551,854,1939
53,IMG_000113.jpg,碧凤蝶,1619,2797,1235,2376
54,IMG_000115.jpg,碧凤蝶,1706,2732,746,1872
55,IMG_000116.jpg,碧凤蝶,1719,2425,609,1778
56,IMG_000117.jpg,碧凤蝶,1938,2506,798,1361
57,IMG_000118.jpg,碧凤蝶,1795,2216,796,1398
58,IMG_000119.jpg,碧凤蝶,2049,2648,1234,1729
59,IMG_000122.jpg,碧凤蝶,2032,2627,766,1411
60,IMG_000124.jpg,碧凤蝶,1834,3014,881,1608
61,IMG_000126.jpg,碧凤蝶,1656,2906,972,1848
62,IMG_000128.jpg,碧凤蝶,1625,2738,893,1567
63,IMG_000129.jpg,碧凤蝶,1556,2851,1120,1663
64,IMG_000133.jpg,碧凤蝶,1938,2652,675,1686
65,IMG_000134.jpg,碧凤蝶,1636,2489,369,1336
66,IMG_000135.jpg,碧凤蝶,1749,2760,357,1333
67,IMG_000136.jpg,碧凤蝶,1683,2732,496,1480
68,IMG_000137.jpg,碧凤蝶,2068,2803,716,1604
